grade;0_2;0_3;0_4;0_5;0_6;0_7;0_8;1_1;1_2;1_3;1_4;1_5;1_6;1_7;2_1;2_2;2_3;2_4;2_5;2_6;2_7;2_8;3_1;3_2;3_3;3_4;3_5;3_6;3_7;4_1;4_2;4_3;4_4;4_5;4_6;4_7;5_1;5_2;5_3;5_4;5_5;5_6
5а;Математика;Английский язык/Английский язык;Биология;Русский язык;;;;Литература;Русский язык;Математика;Музыка;Технология;Английский язык/Английский язык;Немецкий язык/Немецкий язык;Английский язык/Английский язык;Русский язык;История;Русский язык;Литература;ОДНКНР;;;Русский язык;Литература;Математика;Технология;География;Английский язык/Английский язык;;;Математика;Английский язык/Английский язык;Математика;ИЗО;История;;;;;;;
5б;Английский язык/Английский язык;Биология;;Математика;Русский язык;;;Музыка;Математика;;Литература;Английский язык/Английский язык;ИЗО;;Технология;Английский язык/Английский язык;Математика;ОДНКНР;История;Русский язык;;;Русский язык;Литература;Математика;Русский язык;Английский язык/Английский язык;Технология;Немецкий язык/Немецкий язык;Английский язык/Английский язык;История;Математика;Литература;Русский язык;География;;;;;;;
